customer_id,month_index,tenure_months,monthly_charges,support_calls,avg_session_minutes,data_usage_gb,churned,plan_basic,plan_premium,plan_standard
10517,2,40,50.46,2,24.84,9.76,0,0,0,1
10313,0,54,94.89,2,40.52,11.19,0,0,1,0
10127,6,38,65.09,3,45.7,9.77,1,0,0,1
10568,3,37,35.98,3,29.24,7.54,0,1,0,0
10290,6,55,16.74,4,27.72,6.03,1,1,0,0
10040,0,37,35.0,0,41.2,10.47,0,1,0,0
10259,7,27,53.71,2,39.03,2.99,0,0,0,1
10036,6,64,28.12,1,29.59,9.84,0,1,0,0
10187,0,48,94.93,2,59.01,13.73,1,0,1,0
10005,4,10,57.24,0,24.81,2.86,0,0,0,1
10494,3,9,59.04,1,47.14,11.68,1,0,0,1
10234,4,43,103.31,1,33.22,7.76,0,0,1,0
10256,1,56,94.78,3,36.89,7.62,1,0,1,0
10635,4,55,66.91,2,38.75,7.1,0,0,0,1
10595,3,28,20.98,2,31.39,5.82,1,1,0,0
10670,2,4,55.02,3,36.51,5.53,0,0,0,1
10189,0,38,29.52,5,35.9,6.83,0,1,0,0
10543,0,47,20.53,1,26.32,4.88,1,1,0,0
10258,0,18,94.13,0,21.96,8.01,0,0,1,0
10385,3,41,60.92,0,46.35,8.65,1,0,0,1
10223,2,6,14.62,1,59.65,13.47,0,1,0,0
10016,0,41,29.51,3,29.44,5.67,1,1,0,0
10691,1,53,63.33,0,15.77,6.15,0,0,0,1
10654,2,23,19.89,0,43.95,12.17,0,1,0,0
10107,4,31,57.25,1,24.9,1.91,0,0,0,1
10155,5,31,93.15,3,32.98,9.13,1,0,1,0
10290,2,51,16.74,7,31.11,6.51,1,1,0,0
10095,5,60,65.91,0,42.63,10.85,0,0,0,1
10236,4,42,20.95,0,48.11,8.99,1,1,0,0
10106,0,47,104.01,1,27.24,7.45,1,0,1,0
10489,2,46,23.83,1,37.63,7.36,0,1,0,0
10078,2,22,58.11,1,53.67,11.05,0,0,0,1
10638,6,12,55.29,2,45.71,9.54,0,0,0,1
10033,5,42,93.67,1,58.65,10.26,0,0,1,0
10073,0,48,24.14,1,23.26,5.89,0,1,0,0
10488,4,27,24.83,2,36.18,7.39,1,1,0,0
10490,0,20,25.85,0,41.8,7.02,0,1,0,0
10306,6,32,29.25,5,16.96,2.27,1,1,0,0
10271,2,13,18.54,3,52.45,10.39,1,1,0,0
10116,6,43,19.83,4,23.87,6.24,1,1,0,0
