amount,hour,distance_from_home_km,is_foreign,tx_last_24h,account_age_days,merchant_risk_score,is_fraud
353.31,16,1.78,0,1,948,0.1924,0
44.24,9,36.0,0,6,2731,0.1649,0
24.65,12,22.33,0,4,379,0.3478,0
58.35,21,10.92,0,4,1699,0.2614,0
58.3,5,13.18,0,1,618,0.2844,0
49.07,5,8.04,0,2,243,0.4896,0
49.74,13,27.48,0,1,2643,0.313,0
114.69,0,21.61,0,4,842,0.2115,0
93.04,22,22.57,0,2,2255,0.2632,0
335.74,18,27.86,0,3,1459,0.0941,0
86.86,11,14.26,1,5,1536,0.0312,0
46.83,16,10.6,0,6,2734,0.223,0
109.91,0,18.46,0,0,2021,0.1902,0
7.81,22,0.49,0,2,1184,0.3172,0
66.57,14,64.53,0,1,1218,0.1091,0
185.59,4,25.07,0,3,2316,0.1931,0
72.91,16,13.97,0,6,1272,0.1523,0
288.19,15,18.18,0,3,1606,0.0991,0
92.02,6,37.36,0,5,1941,0.0504,0
43.37,13,11.73,0,3,1875,0.1138,0
3.92,21,100.8,1,2,1028,0.1427,0
356.09,5,9.71,0,1,1771,0.0944,0
47.54,19,25.06,0,1,851,0.3175,0
56.82,18,10.66,0,2,1689,0.2553,0
10.48,8,28.01,0,4,2224,0.5563,0
21.99,23,31.36,0,3,2843,0.1606,0
55.76,19,39.08,1,3,2020,0.0606,0
80.05,8,6.2,0,4,2860,0.2797,0
97.19,7,1.06,0,3,1958,0.1047,0
59.43,7,69.34,1,6,662,0.0388,0
26.48,8,19.09,0,6,1362,0.1392,0
36.27,21,9.28,0,0,2962,0.0785,0
0.95,2,-999.0,0,3,193,0.258,0
288.78,7,22.17,0,3,1061,0.1751,0
53.44,2,11.42,0,0,787,0.3756,0
18.95,11,1.45,0,8,448,0.3126,0
31.35,19,3.92,0,3,853,0.1434,0
17.23,1,9.42,0,5,2983,0.1758,0
66.05,10,32.04,0,6,649,0.1208,0
53.17,21,12.17,0,4,1335,0.1774,0
8.35,23,10.01,0,4,1627,0.0704,0
28.46,20,19.84,0,2,2166,0.1335,0
52.97,18,2.22,0,1,907,0.2575,0
50.85,20,-999.0,1,5,780,0.3937,0
87.9,7,27.47,0,4,1774,0.3239,0
220.84,4,8.15,0,2,1773,0.3878,0
53.49,6,-999.0,0,3,2263,0.073,0
47.28,6,3.37,0,2,2854,0.3959,0
160.71,6,35.92,0,2,436,0.1535,0
6.96,13,19.89,0,2,1007,0.3739,0
39.46,18,7.57,1,2,1451,0.2722,0
116.43,20,19.77,0,3,1716,0.3573,0
204.26,16,70.27,1,5,1948,0.04,0
52.58,16,6.44,0,1,866,0.1371,0
80.55,6,10.85,0,5,1006,0.2333,0
165.17,5,26.15,0,3,2719,0.3996,0
43.17,21,16.55,1,2,619,0.272,0
20.96,0,32.23,1,2,1968,0.3689,0
9.92,3,10.56,0,3,201,0.2999,0
43.11,17,13.96,0,3,2942,0.0184,0
42.72,14,26.27,0,2,2959,0.1472,0
94.7,16,21.13,0,3,1268,0.3466,0
68.9,2,8.97,0,2,1194,0.2909,0
31.66,11,-999.0,0,2,1832,0.1378,0
10.27,18,15.85,0,3,1634,0.1199,0
110.45,5,19.48,0,2,374,0.146,0
46.7,5,46.35,0,7,2408,0.0868,0
66.04,19,-999.0,1,2,608,0.286,0
37.97,4,78.17,0,2,1917,0.1579,0
20.67,8,5.2,0,5,494,0.1486,0
3.79,0,6.88,0,3,2808,0.1127,0
52.52,7,3.2,0,3,2939,0.0312,0
