date,store_id,store_type,day_of_week,month,promo,temperature,sales_last_week,high_demand
2023-01-08,4,1,6,1,0,17.1,788.3126245529638,0
2023-01-08,2,1,6,1,0,12.4,652.2422757379311,0
2023-01-08,9,1,6,1,1,10.7,677.6979665786799,0
2023-01-08,7,1,6,1,0,19.7,739.7091325172485,0
2023-01-08,6,0,6,1,0,14.2,1281.2408229672249,1
2023-01-08,0,2,6,1,0,12.2,314.64487912157205,0
2023-01-08,1,0,6,1,0,16.0,1325.691743722513,1
2023-01-08,5,2,6,1,0,25.096873120865904,435.3335354261886,0
2023-01-08,11,0,6,1,0,13.0,1091.051250125162,1
2023-01-09,0,2,0,1,0,15.3,274.9402509065877,0
2023-01-09,11,0,0,1,0,17.4,848.7634417485441,1
2023-01-09,3,2,0,1,0,14.9,297.90463698353943,0
2023-01-09,9,1,0,1,0,14.0,575.8962101367786,0
2023-01-09,8,2,0,1,0,14.8,344.90412216932543,0
2023-01-09,4,1,0,1,1,14.5,835.7174699093769,0
2023-01-09,5,2,0,1,0,14.5,399.08746960692787,0
2023-01-09,2,1,0,1,0,18.5,572.3151173689155,0
2023-01-09,10,2,0,1,0,16.4,287.81009240743276,0
2023-01-09,6,0,0,1,0,11.9,1007.1019368275693,1
2023-01-10,3,2,1,1,0,10.8,366.0044158389271,0
2023-01-10,11,0,1,1,0,15.6,861.9246592935982,1
2023-01-10,0,2,1,1,0,12.1,377.43873407996716,0
2023-01-10,10,2,1,1,0,16.6,284.3772422703319,0
2023-01-10,4,1,1,1,0,12.7,635.3210778530582,0
2023-01-10,2,1,1,1,0,9.7,587.4141691068869,0
2023-01-10,7,1,1,1,0,14.9,656.5591298004955,0
2023-01-10,1,0,1,1,0,17.2,931.9523322613194,1
2023-01-10,5,2,1,1,0,19.4,391.94072217228006,0
2023-01-11,8,2,2,1,1,12.2,486.137720785614,0
2023-01-11,1,0,2,1,1,16.5,1243.1516172407594,1
2023-01-11,4,1,2,1,1,14.8,698.0947836989305,1
