department,satisfaction,monthly_hours,years_at_company,salary_band,overtime,left_company
sales,0.737,186.2,5,high,0,0
engineering,0.365,169.2,10,medium,0,0
engineering,0.817,138.9,14,low,1,0
operations,0.946,112.0,7,high,0,0
sales,0.838,187.9,8,medium,0,0
support,0.137,119.5,9,low,0,0
engineering,0.692,174.0,7,high,1,0
support,0.416,150.8,7,medium,0,1
operations,0.746,171.7,8,medium,1,1
operations,0.714,176.2,1,medium,0,0
operations,0.998,206.9,11,low,1,0
operations,0.186,140.6,7,low,1,1
sales,0.414,192.4,12,medium,0,0
sales,0.593,241.5,4,high,0,0
operations,0.489,214.8,2,high,0,0
engineering,0.738,165.6,13,low,0,0
engineering,0.219,144.3,10,low,1,0
operations,0.614,132.6,8,low,0,1
support,0.501,186.8,5,high,1,0
support,0.874,180.6,8,low,1,0
support,0.159,148.3,1,low,1,1
sales,0.104,161.3,5,medium,0,0
engineering,0.142,170.9,13,low,1,1
support,0.167,126.1,13,medium,0,0
sales,0.988,113.3,1,low,0,0
sales,0.275,153.7,6,high,1,1
operations,0.527,199.8,8,medium,1,0
sales,0.943,165.8,13,medium,1,0
support,0.946,135.7,6,high,0,0
support,0.281,175.8,8,low,0,0
engineering,0.209,222.1,14,low,0,0
sales,0.865,,12,low,0,0
sales,0.467,181.4,14,low,0,0
engineering,0.923,211.2,10,medium,0,0
engineering,0.385,141.1,0,medium,1,1
engineering,0.141,165.0,13,low,0,0
operations,0.715,128.5,8,medium,1,0
sales,0.891,154.9,8,medium,1,0
sales,0.137,174.6,11,low,0,1
engineering,0.402,134.7,0,low,1,1
operations,0.526,182.7,7,medium,0,0
engineering,0.813,,14,low,0,1
support,0.892,210.7,4,high,0,0
sales,0.14,159.9,5,medium,0,1
sales,0.949,169.5,12,low,0,0
operations,0.95,213.8,13,medium,1,0
operations,0.82,164.6,14,low,0,0
sales,0.223,186.5,9,low,0,0
engineering,0.518,213.8,1,high,0,0
engineering,0.327,194.1,8,medium,0,0
operations,0.193,170.9,8,medium,0,0
support,0.212,149.1,10,low,1,1
sales,0.114,190.7,11,low,0,0
sales,0.92,200.8,12,high,0,0
sales,0.49,198.1,5,low,0,1
sales,0.328,175.7,7,high,1,1
engineering,0.242,173.2,5,low,1,1
sales,0.219,104.9,8,low,1,0
engineering,0.769,193.0,10,low,0,0
sales,0.368,124.1,10,high,0,0
sales,0.609,153.9,4,high,0,0
sales,0.337,117.2,12,low,1,1
operations,0.697,172.0,2,low,1,1
support,0.64,197.4,13,medium,0,0
operations,0.547,207.1,8,high,1,0
sales,0.143,119.5,3,high,1,1
sales,0.679,103.7,3,medium,0,1
engineering,0.666,189.1,10,low,0,0
engineering,0.239,149.3,11,low,1,1
operations,0.454,183.6,0,low,1,0
engineering,0.546,197.0,13,low,0,0
sales,0.818,152.3,7,medium,0,0
support,0.275,152.3,14,medium,1,1
support,0.402,159.2,12,high,0,1
operations,0.809,191.4,10,low,0,0
sales,0.944,115.4,13,medium,0,0
sales,0.106,180.0,0,medium,0,1
engineering,0.352,158.7,9,low,0,1
sales,0.266,179.9,12,high,0,0
operations,0.346,175.3,7,medium,0,0
engineering,0.294,191.6,5,low,0,0
sales,0.448,179.2,11,medium,0,0
operations,0.332,184.1,14,medium,0,0
support,0.859,150.0,2,low,0,0
engineering,0.891,200.3,4,medium,1,0
operations,0.496,168.7,0,medium,0,1
engineering,0.825,164.6,11,medium,0,0
support,0.652,130.1,1,medium,0,0
operations,0.123,181.9,1,low,1,1
engineering,0.11,185.4,14,medium,0,0
operations,0.777,127.9,6,low,0,0
engineering,0.429,171.4,10,low,0,0
operations,0.307,142.2,9,medium,0,0
operations,0.79,86.6,4,medium,0,0
operations,0.682,183.2,9,medium,0,0
sales,0.527,172.7,5,medium,0,0
sales,0.881,193.4,8,low,1,0
engineering,0.898,223.4,14,medium,0,0
sales,0.55,162.6,2,low,0,0
engineering,0.128,145.7,12,medium,0,1
sales,0.517,168.1,10,high,0,0
operations,0.318,235.5,6,medium,0,1
operations,0.867,180.9,4,medium,1,0
operations,0.48,192.4,2,medium,0,0
sales,0.229,149.5,9,low,0,1
engineering,0.165,171.5,12,medium,0,1
engineering,0.693,146.0,1,low,0,0
sales,0.401,132.5,0,low,0,0
operations,0.482,131.5,5,high,0,0
support,0.808,139.8,8,medium,0,0
sales,0.898,,7,low,0,0
sales,0.835,217.2,14,low,0,0
engineering,0.341,216.2,2,medium,0,0
engineering,0.194,166.5,0,low,1,1
sales,0.156,203.1,5,low,0,1
support,0.43,137.3,14,medium,0,0
engineering,0.577,159.9,11,low,1,0
support,0.628,108.7,13,medium,1,0
sales,0.119,186.3,9,medium,0,0
operations,0.153,219.3,5,high,0,1
support,0.666,188.4,6,medium,0,0
sales,0.397,156.3,8,medium,0,1
operations,0.994,174.9,3,medium,0,0
operations,0.935,160.8,14,low,1,1
engineering,0.403,138.5,4,low,1,1
operations,0.458,177.1,8,medium,0,0
sales,0.41,158.9,11,medium,0,0
support,0.303,161.9,0,medium,0,0
sales,0.389,182.6,14,medium,0,0
sales,0.372,165.6,1,medium,0,0
engineering,0.497,188.1,4,medium,0,0
support,0.196,,10,medium,0,0
sales,0.856,151.8,4,medium,0,0
sales,0.414,186.2,11,medium,1,0
operations,0.429,154.2,5,high,0,0
sales,0.481,213.9,11,high,0,0
engineering,0.967,191.6,7,low,1,0
engineering,0.167,124.6,12,medium,0,0
operations,0.486,182.9,0,high,0,1
support,0.448,178.5,3,high,1,0
engineering,0.204,201.6,4,low,0,1
support,0.522,151.9,11,low,0,0
sales,0.274,177.0,14,medium,0,0
engineering,0.339,262.0,10,medium,0,0
engineering,0.736,120.2,10,low,0,0
sales,0.569,202.2,13,low,1,0
sales,0.831,217.9,8,high,0,0
engineering,0.367,111.1,6,low,1,0
operations,0.842,181.0,8,low,1,0
engineering,0.816,144.6,13,high,1,0
sales,0.962,165.9,10,high,0,0
support,0.978,141.9,0,low,0,0
engineering,0.354,191.9,10,low,0,0
support,0.916,170.0,12,low,0,0
engineering,0.485,175.4,9,medium,1,0
engineering,0.342,211.9,12,high,0,1
sales,0.941,166.3,3,medium,0,0
operations,0.665,176.5,6,medium,0,0
engineering,0.502,170.2,6,medium,0,0
sales,0.98,174.0,0,low,1,0
operations,0.511,206.5,4,medium,1,1
support,0.95,188.2,0,low,1,0
operations,0.301,220.7,0,medium,0,0
engineering,0.889,186.9,4,low,0,0
engineering,0.943,182.9,14,medium,0,0
support,0.247,169.3,1,low,0,0
support,0.94,219.8,2,medium,0,0
engineering,0.418,124.4,14,medium,0,0
engineering,0.919,200.9,10,medium,0,0
sales,0.584,147.9,2,low,0,0
engineering,0.217,152.5,5,low,0,0
operations,0.337,228.2,12,medium,1,0
engineering,0.711,176.2,8,medium,0,0
support,0.545,,3,high,1,0
engineering,0.138,,6,low,0,1
sales,0.981,200.9,11,low,1,0
engineering,0.669,173.8,7,low,1,0
engineering,0.83,98.0,12,high,0,0
engineering,0.516,182.3,3,medium,0,0
support,0.439,190.7,13,low,0,1
engineering,0.541,225.1,2,medium,0,0
engineering,0.585,149.9,8,medium,0,0
operations,0.156,173.4,5,high,0,0
engineering,0.266,186.2,1,low,1,1
support,0.517,161.4,12,low,1,0
sales,0.793,164.7,8,low,0,0
sales,0.234,156.3,9,low,1,1
support,0.327,181.1,11,medium,0,0
engineering,0.546,216.6,7,low,0,0
engineering,0.605,150.8,10,medium,0,0
operations,0.72,140.3,11,low,1,0
sales,0.931,156.4,8,low,0,0
sales,0.262,161.7,8,high,0,0
support,0.903,188.9,13,medium,1,0
operations,0.596,175.2,9,medium,0,0
sales,0.872,186.0,7,low,0,0
operations,0.301,114.5,8,medium,1,1
operations,0.103,158.2,10,low,1,0
support,0.998,224.7,5,low,1,0
operations,0.367,226.4,14,high,0,0
engineering,0.17,162.2,3,medium,0,1
operations,0.956,202.1,12,high,0,0
engineering,0.802,181.4,1,low,0,0
operations,0.973,141.2,13,high,0,0
support,0.63,131.1,4,low,0,1
sales,0.762,170.3,12,low,0,0
support,0.668,140.3,5,low,0,0
engineering,0.774,123.8,10,medium,1,0
engineering,0.135,219.6,13,medium,0,0
support,0.264,196.7,2,low,0,1
engineering,0.27,179.8,4,low,1,1
sales,0.106,173.5,6,medium,1,1
sales,0.544,113.5,14,high,1,0
sales,0.564,165.5,0,low,0,1
engineering,0.525,189.9,13,low,1,0
engineering,0.381,195.6,2,medium,0,0
operations,0.544,195.9,9,medium,0,0
operations,0.469,195.3,7,medium,1,0
sales,0.283,59.9,7,high,0,0
support,0.742,101.1,0,medium,0,0
sales,0.941,160.5,13,medium,1,0
engineering,0.121,185.0,0,low,0,1
support,0.406,188.4,9,low,0,1
engineering,0.405,201.6,13,medium,1,0
sales,0.651,,3,low,0,0
engineering,0.39,206.6,14,medium,0,1
sales,0.865,176.6,1,low,0,0
operations,0.342,124.8,4,medium,0,0
operations,0.462,163.6,13,low,0,0
operations,0.774,167.4,0,medium,0,1
engineering,0.819,153.4,2,low,0,0
operations,0.414,170.4,7,medium,1,0
support,0.15,178.0,0,medium,1,1
support,0.154,163.8,6,low,0,0
engineering,0.312,144.4,6,low,1,0
sales,0.85,199.4,7,medium,0,0
sales,0.341,198.4,4,low,0,1
engineering,0.736,180.6,14,low,0,1
sales,0.484,142.6,8,low,0,0
sales,0.41,187.4,14,low,1,0
sales,0.937,,12,low,0,0
sales,0.467,139.0,0,medium,0,0
engineering,0.258,168.6,4,medium,0,0
engineering,0.118,177.4,1,low,0,0
sales,0.686,192.7,1,medium,1,1
engineering,0.888,179.3,13,medium,1,0
engineering,0.689,186.3,13,medium,0,0
sales,0.708,177.2,6,high,0,0
engineering,0.23,182.3,4,medium,0,1
support,0.399,167.0,1,medium,0,0
engineering,0.833,216.7,9,medium,1,0
support,0.816,205.7,9,low,0,0
sales,0.236,187.9,10,medium,1,0
sales,0.729,233.2,9,medium,1,0
operations,0.959,135.3,1,medium,0,0
sales,0.157,137.2,13,high,1,1
engineering,0.539,215.9,0,low,0,0
support,0.502,118.6,3,high,0,0
operations,0.392,201.1,8,high,0,0
sales,0.677,181.4,2,low,1,1
engineering,0.343,174.7,1,medium,0,1
sales,0.811,91.6,9,low,0,0
support,0.411,177.5,11,medium,0,1
engineering,0.171,149.9,14,medium,0,1
sales,0.836,160.2,0,low,0,1
operations,0.469,141.0,1,medium,0,0
support,0.716,136.6,14,low,0,0
support,0.159,151.9,2,medium,0,1
engineering,0.617,183.7,6,high,1,0
operations,0.348,128.6,4,high,0,0
sales,0.805,172.2,4,medium,0,0
support,0.292,212.0,6,medium,0,0
engineering,0.172,192.5,9,low,0,1
sales,0.589,124.4,0,medium,0,0
operations,0.38,140.3,13,low,0,0
support,0.869,272.3,0,low,0,0
engineering,0.773,176.5,9,medium,0,0
support,0.892,159.5,8,low,1,0
operations,0.819,186.5,10,low,0,0
operations,0.953,166.4,5,low,0,0
support,0.775,,5,low,0,0
operations,0.738,189.2,12,low,1,1
sales,0.248,160.0,7,high,0,0
support,0.747,146.5,6,low,0,0
engineering,0.342,205.3,0,low,1,1
sales,0.281,162.0,8,low,1,0
engineering,0.364,183.0,2,medium,1,0
engineering,0.435,216.4,1,low,1,0
sales,0.387,189.1,6,medium,0,0
operations,0.213,187.8,7,low,0,1
sales,0.654,142.0,10,medium,1,0
engineering,0.461,143.8,0,medium,0,0
engineering,0.345,172.3,3,medium,0,0
sales,0.979,160.3,9,low,0,1
engineering,0.992,189.6,0,high,0,0
engineering,0.274,153.5,14,medium,1,0
engineering,0.71,133.6,4,low,0,0
sales,0.576,239.3,11,medium,0,1
engineering,0.793,156.7,14,low,1,0
sales,0.873,174.0,13,medium,0,0
support,0.925,153.3,5,medium,0,0
engineering,0.325,138.0,2,low,0,1
engineering,0.215,130.6,3,medium,0,1
engineering,0.861,157.3,6,high,0,0
engineering,0.949,236.0,3,low,0,0
operations,0.231,128.7,4,low,1,1
sales,0.154,207.3,12,medium,0,1
engineering,0.694,160.0,1,medium,1,0
support,0.487,133.7,1,medium,0,1
engineering,0.854,,3,low,1,0
engineering,0.683,148.3,8,low,0,0
sales,0.662,131.0,14,low,0,0
sales,0.185,175.4,4,low,0,1
engineering,0.215,239.0,1,high,1,1
engineering,0.178,130.7,5,medium,0,0
engineering,0.162,161.9,4,medium,0,0
support,0.807,150.8,5,high,0,0
engineering,0.609,174.5,13,medium,0,0
operations,0.994,134.8,1,medium,0,0
operations,0.634,165.5,0,low,0,0
engineering,0.748,166.8,14,medium,1,0
engineering,0.368,198.1,13,low,0,1
sales,0.213,160.5,0,medium,0,0
sales,0.91,215.1,3,medium,0,0
support,0.772,204.5,8,high,0,0
support,0.753,196.8,8,medium,0,0
engineering,0.206,156.8,7,high,0,0
sales,0.401,,6,medium,1,0
engineering,0.684,159.1,1,low,0,1
operations,0.839,195.1,9,medium,1,0
support,0.812,186.0,1,low,0,0
operations,0.923,204.6,3,medium,0,0
sales,0.259,169.9,8,low,0,0
sales,0.911,202.5,8,medium,0,0
sales,0.299,195.6,0,medium,0,0
sales,0.705,98.4,5,low,1,0
sales,0.899,231.7,14,medium,0,0
operations,0.197,144.7,2,medium,0,1
sales,0.853,135.8,7,medium,0,0
support,0.69,203.1,10,low,1,0
support,0.24,133.2,6,medium,0,0
operations,0.232,203.4,6,medium,1,1
engineering,0.982,145.2,0,low,0,0
support,0.689,100.9,3,low,0,0
operations,0.306,216.0,0,medium,0,1
operations,0.774,192.6,2,low,0,0
support,0.587,233.1,3,low,1,0
support,0.683,178.4,10,high,0,0
engineering,0.183,97.9,11,medium,1,0
sales,0.858,190.3,0,low,0,0
operations,0.409,192.6,7,low,0,0
engineering,0.937,178.4,1,medium,0,0
sales,0.73,167.5,11,low,1,0
sales,0.61,108.9,6,medium,1,0
engineering,0.473,130.6,12,high,0,0
sales,0.948,173.6,10,high,0,0
operations,0.587,228.0,2,medium,1,1
operations,0.3,144.0,0,low,0,0
engineering,0.43,166.1,4,medium,0,0
operations,0.482,164.6,14,low,0,0
engineering,0.638,155.3,1,low,0,0
sales,0.682,191.0,13,high,0,0
engineering,0.262,147.4,0,low,1,1
sales,0.905,200.6,9,low,0,0
support,0.336,159.8,2,high,1,0
engineering,0.45,131.2,10,low,0,0
support,0.476,142.8,0,medium,0,0
engineering,0.182,186.0,3,medium,0,0
engineering,0.562,225.0,14,medium,0,0
support,0.124,201.9,4,medium,0,0
engineering,0.469,,12,medium,1,0
